Brand,Model,Country,Founded,Chile_Entry,Segment,Years,Vehicle_Type,Popular
TOYOTA,Corolla,Japón,1937,1994,Masivo,2000-2025,"Sedán, Hatchback",True
TOYOTA,Yaris,Japón,1937,1994,Masivo,2005-2025,"Hatchback, Sedán",True
TOYOTA,Camry,Japón,1937,1994,Masivo,2000-2025,Sedán,False
TOYOTA,Tercel,Japón,1937,1994,Masivo,2000-2008,Hatchback,False
TOYOTA,Hilux,Japón,1937,1994,Masivo,2000-2025,Pick-up,True
TOYOTA,RAV4,Japón,1937,1994,Masivo,2000-2025,SUV,True
TOYOTA,Fortuner,Japón,1937,1994,Masivo,2006-2025,SUV,True
TOYOTA,Innova,Japón,1937,1994,Masivo,2006-2025,"SUV, Minivan",False
TOYOTA,4Runner,Japón,1937,1994,Masivo,2000-2015,SUV,False
TOYOTA,Land Cruiser,Japón,1937,1994,Masivo,2000-2025,SUV,False
TOYOTA,Prius,Japón,1937,1994,Masivo,2010-2025,Híbrido,True
TOYOTA,Avanza,Japón,1937,1994,Masivo,2007-2025,Minivan,True
TOYOTA,Auris,Japón,1937,1994,Masivo,2008-2018,Hatchback,False
TOYOTA,FJ Cruiser,Japón,1937,1994,Masivo,2008-2014,SUV,False
TOYOTA,Verso,Japón,1937,1994,Masivo,2010-2020,Minivan,False
TOYOTA,Rav4 Hybrid,Japón,1937,1994,Masivo,2017-2025,SUV Híbrido,True
TOYOTA,Raize,Japón,1937,1994,Masivo,2022-2025,SUV Compacto,True
TOYOTA,Glanza,Japón,1937,1994,Masivo,2020-2025,Hatchback,False
SUZUKI,Swift,Japón,1909,1976,Masivo,2004-2025,Hatchback,True
SUZUKI,Alto,Japón,1909,1976,Masivo,2009-2025,Citycar,True
SUZUKI,Celerio,Japón,1909,1976,Masivo,2017-2025,"Hatchback, Citycar",True
SUZUKI,Baleno,Japón,1909,1976,Masivo,1995-2004,Sedán Compacto,False
SUZUKI,Vitara,Japón,1909,1976,Masivo,1988-2025,SUV,True
SUZUKI,Samurai,Japón,1909,1976,Masivo,1981-2005,SUV,False
SUZUKI,Jimny,Japón,1909,1976,Masivo,1970-2025,SUV Compacto,False
SUZUKI,Grand Vitara,Japón,1909,1976,Masivo,2005-2015,SUV,False
SUZUKI,Carry,Japón,1909,1976,Masivo,1979-2020,"Minivan, Comercial",False
SUZUKI,Cultus,Japón,1909,1976,Masivo,1995-2008,Hatchback,False
SUZUKI,Fronte,Japón,1909,1976,Masivo,1976-1980,Sedán,False
SUZUKI,SX4,Japón,1909,1976,Masivo,2006-2014,Crossover,False
SUZUKI,S-Cross,Japón,1909,1976,Masivo,2015-2025,SUV Compacto,False
SUZUKI,Ertiga,Japón,1909,1976,Masivo,2018-2025,Minivan,False
NISSAN,Versa,Japón,1933,1994,Masivo,2007-2025,Sedán,True
NISSAN,Sentra,Japón,1933,1994,Masivo,2000-2010,Sedán,False
NISSAN,Sunny,Japón,1933,1994,Masivo,2000-2012,Sedán,False
NISSAN,V16,Japón,1933,1994,Masivo,1998-2008,Sedán,False
NISSAN,Maxima,Japón,1933,1994,Masivo,2000-2010,Sedán Premium,False
NISSAN,Pathfinder,Japón,1933,1994,Masivo,2000-2015,SUV,False
NISSAN,X-Trail,Japón,1933,1994,Masivo,2001-2025,SUV,True
NISSAN,Terrano,Japón,1933,1994,Masivo,2000-2015,SUV,False
NISSAN,Patrol,Japón,1933,1994,Masivo,2000-2025,SUV,False
NISSAN,D21,Japón,1933,1994,Masivo,2000-2008,Pick-up,False
NISSAN,Navara,Japón,1933,1994,Masivo,2009-2025,Pick-up,True
NISSAN,Frontier,Japón,1933,1994,Masivo,2005-2025,Pick-up,True
NISSAN,Kicks,Japón,1933,1994,Masivo,2018-2025,SUV Compacto,True
NISSAN,Qashqai,Japón,1933,1994,Masivo,2007-2025,SUV Compacto,True
NISSAN,Murano,Japón,1933,1994,Masivo,2005-2025,SUV,False
NISSAN,March,Japón,1933,1994,Masivo,2010-2025,Hatchback,True
NISSAN,Micra,Japón,1933,1994,Masivo,2005-2012,Hatchback,False
NISSAN,Juke,Japón,1933,1994,Masivo,2010-2025,Crossover,False
NISSAN,Rogue,Japón,1933,1994,Masivo,2014-2025,SUV,False
MITSUBISHI,Lancer,Japón,1970,1994,Masivo,2000-2018,Sedán,False
MITSUBISHI,Mirage,Japón,1970,1994,Masivo,2012-2025,Hatchback,True
MITSUBISHI,L-200,Japón,1970,1994,Masivo,2000-2025,Pick-up,True
MITSUBISHI,Pajero,Japón,1970,1994,Masivo,2000-2015,SUV,False
MITSUBISHI,Montero Sport,Japón,1970,1994,Masivo,2000-2025,SUV,True
MITSUBISHI,Outlander,Japón,1970,1994,Masivo,2003-2025,SUV,True
MITSUBISHI,Eclipse,Japón,1970,1994,Masivo,2000-2012,Deportivo,False
MITSUBISHI,Galant,Japón,1970,1994,Masivo,2000-2012,Sedán,False
MITSUBISHI,Colt,Japón,1970,1994,Masivo,2000-2012,Hatchback,False
MITSUBISHI,Airtrek,Japón,1970,1994,Masivo,2001-2006,SUV,False
MITSUBISHI,RVR,Japón,1970,1994,Masivo,2010-2025,SUV,False
MITSUBISHI,ASX,Japón,1970,1994,Masivo,2010-2025,SUV Compacto,False
MITSUBISHI,i-MiEV,Japón,1970,1994,Masivo,2012-2020,Eléctrico,False
MITSUBISHI,Fuso,Japón,1970,1994,Masivo,2000-2025,Comercial,False
MAZDA,Mazda 3,Japón,1920,1994,Masivo,2004-2025,"Hatchback, Sedán",True
MAZDA,Mazda 6,Japón,1920,1994,Masivo,2002-2025,Sedán,True
MAZDA,CX-5,Japón,1920,1994,Masivo,2013-2025,SUV,True
MAZDA,CX-3,Japón,1920,1994,Masivo,2015-2025,SUV Compacto,True
MAZDA,CX-9,Japón,1920,1994,Masivo,2007-2025,SUV,False
MAZDA,Mazda 2,Japón,1920,1994,Masivo,2008-2025,Hatchback,True
MAZDA,Premacy,Japón,1920,1994,Masivo,2001-2010,Minivan,False
MAZDA,Tribute,Japón,1920,1994,Masivo,2001-2011,SUV,False
MAZDA,MX-5,Japón,1920,1994,Masivo,2016-2025,Deportivo,False
MAZDA,BT-50,Japón,1920,1994,Masivo,2007-2025,Pick-up,True
MAZDA,Protegé,Japón,1920,1994,Masivo,2000-2003,Sedán,False
SUBARU,Loyale,Japón,1953,1981,Premium,1984-2000,Sedán 4x4,False
SUBARU,Legacy,Japón,1953,1981,Premium,1990-2025,Sedán,True
SUBARU,Outback,Japón,1953,1981,Premium,1995-2025,SUV,True
SUBARU,Forester,Japón,1953,1981,Premium,1997-2025,SUV,True
SUBARU,Impreza,Japón,1953,1981,Premium,1992-2025,"Sedán, Hatchback",True
SUBARU,WRX,Japón,1953,1981,Premium,2001-2025,Deportivo,False
SUBARU,Justy,Japón,1953,1981,Premium,2003-2012,Hatchback,False
SUBARU,Tracker,Japón,1953,1981,Premium,2000-2008,SUV,False
SUBARU,XV,Japón,1953,1981,Premium,2011-2025,SUV Compacto,True
SUBARU,Crosstrek,Japón,1953,1981,Premium,2018-2025,SUV,True
